Date,Open,High,Low,Close,Volume,gold_close,oil_close,vix,spy_close
2021-01-15,213.52,214.51,212.03,212.65,31730012.0,1829.300048828125,52.36000061035156,24.34000015258789,349.7518310546875
2021-01-19,213.75,216.98,212.63,216.44,30480859.0,1839.5,52.97999954223633,23.239999771118164,352.49810791015625
2021-01-20,217.7,225.79,217.2908,224.34,37777260.0,1865.9000244140625,53.2400016784668,21.579999923706055,357.3761901855469
2021-01-21,224.7,226.3,222.42,224.97,30746353.0,1865.300048828125,53.130001068115234,21.31999969482422,357.7020568847656
2021-01-22,227.08,230.07,225.8,225.95,30172663.0,1855.699951171875,52.27000045776367,21.90999984741211,356.43603515625
2021-01-25,229.12,229.78,224.22,229.53,33152095.0,1854.9000244140625,52.77000045776367,23.190000534057617,357.84173583984375
2021-01-26,231.86,234.18,230.08,232.33,49167001.0,1850.699951171875,52.61000061035156,23.020000457763672,357.2831726074219
2021-01-27,238.0,240.44,230.14,232.9,69789638.0,1844.9000244140625,52.84999847412109,37.209999084472656,348.5509338378906
2021-01-28,235.61,242.64,235.09,238.93,49111159.0,1837.9000244140625,52.34000015258789,30.209999084472656,351.54864501953125
2021-01-29,235.99,238.02,231.35,231.96,42503138.0,1847.300048828125,52.20000076293945,33.09000015258789,344.5107116699219
2021-02-01,235.06,242.5,232.43,239.65,33314193.0,1860.800048828125,53.54999923706055,30.239999771118164,350.2452697753906
2021-02-02,241.3,242.31,238.69,239.51,25916337.0,1830.5,54.7599983215332,25.559999465942383,355.1977844238281
2021-02-03,239.57,245.09,239.26,243.0,27033104.0,1832.199951171875,55.68999862670898,22.90999984741211,355.47711181640625
2021-02-04,242.66,243.2399,240.37,242.01,25196100.0,1788.9000244140625,56.22999954223633,21.770000457763672,359.517333984375
2021-02-05,242.23,243.28,240.42,242.2,18054752.0,1810.9000244140625,56.84999847412109,20.8700008392334,360.9323425292969
2021-02-08,243.15,243.68,240.81,242.47,22211929.0,1831.9000244140625,57.970001220703125,21.239999771118164,363.5390319824219
2021-02-09,241.87,244.76,241.38,243.77,23564953.0,1835.300048828125,58.36000061035156,21.6299991607666,363.2970275878906
2021-02-10,245.0,245.92,240.89,242.82,22186706.0,1840.5999755859373,58.68000030517578,21.989999771118164,363.13873291015625
2021-02-11,244.78,245.15,242.15,244.49,15741059.0,1824.9000244140625,58.2400016784668,21.25,363.7251892089844
