date,Close,High,Low,Open,Volume
2022-03-16,202.59556579589844,202.9207777136456,194.4747869100176,195.7855446269599,6043400
2022-03-17,207.3655242919922,207.63160676145048,199.62910205436447,201.6592929499648,5842600
2022-03-18,215.63414001464844,216.40285282836064,205.29591660643263,206.20260312932385,12220600
2022-03-21,210.62762451171875,215.92978454286177,207.5626234025718,215.03294798777893,6448700
2022-03-22,215.0526733398437,218.6400046977761,209.5435449732284,210.6276348223313,7018800
2022-03-23,208.055419921875,210.8346091201747,205.2959305133593,210.7754796748077,8404700
2022-03-24,210.8838806152344,211.0120044339737,206.8333483442387,209.27747560476644,4150300
2022-03-25,207.97657775878903,212.7366936532217,205.46347103914343,211.169703183069,3656500
2022-03-28,212.16506958007807,212.26362867535468,206.2715996023,207.33597467165905,4290900
2022-03-29,218.08810424804688,218.94552627041327,213.6335158566997,215.4567388150057,5370400
2022-03-30,211.82997131347656,216.66893066529488,210.31224561240683,216.53095696865265,4951200
2022-03-31,209.24790954589844,213.6532184473895,208.72556437976385,211.39635950113995,7141300
2022-04-01,209.17889404296875,210.9331375108187,207.0008645483432,209.40556189654345,6007900
2022-04-04,215.68344116210932,217.80232655913304,211.0021694374221,211.52449960576763,7843600
2022-04-05,207.09945678710932,215.11182758656392,205.65072520260267,214.84573004055045,7304600
2022-04-06,197.9143218994141,202.49703455400189,195.213961828693,202.2408019345352,7171300
2022-04-07,197.26382446289065,199.78678059690603,195.32232782079183,196.2388641346939,5246000
2022-04-08,194.3170928955078,197.24412037667983,193.775047984549,195.7658242766134,3897700
2022-04-11,192.6219940185547,194.24812887964555,189.37960426681485,191.39994543713613,5173800
2022-04-12,191.99124145507807,198.2099380314104,191.7645735950454,196.85976572694685,4832200
2022-04-13,192.8880920410156,194.2481293759471,186.5807008491724,189.21206631692604,8733000
2022-04-14,186.66940307617188,193.6075336868813,186.4821498074185,193.47942490142435,5126700
2022-04-18,184.3041076660156,186.61026114402355,182.84552630712665,185.5754508066876,4899500
2022-04-19,188.6207275390625,189.41900503158587,182.8356669131909,184.5307809873416,6120400
2022-04-20,183.535400390625,190.50311050598992,183.3875767828337,190.0990392606844,6015400
2022-04-21,174.6656036376953,187.41837343957528,174.1827032138006,186.04848635329324,9119500
2022-04-22,168.94952392578125,176.45927822977612,168.6243120219832,175.12880574403536,8843900
2022-04-25,172.0441131591797,172.23135137292553,166.78136743617463,167.23471820557435,7988900
2022-04-26,167.61907958984375,171.20641108579778,165.1256878789804,170.1223211949848,8073300
2022-04-27,172.1525115966797,174.66561812487896,168.16112391789986,168.5257654989226,9644600
2022-04-28,183.0525054931641,184.22527457274097,176.39030732282183,178.78515510809197,10614800
2022-04-29,173.39427185058594,182.67796913757496,172.76353281106668,179.9283451316407,7110800
2022-05-02,175.00071716308594,175.20767021664804,170.61509292760874,172.556589870872,6278400
2022-05-03,175.77928161621094,177.7799080228352,173.58155204874822,174.389679519588,5047700
2022-05-04,182.79623413085932,183.2889994919266,172.21164379945864,177.1097326915074,7563100
2022-05-05,169.8069610595703,179.60313968756995,167.3628488687677,177.87846077526035,8379400
2022-05-06,167.24456787109375,169.93506264983824,163.18418593004282,167.03761483165513,7232700
2022-05-09,161.23284912109375,167.82603771397478,159.78411760408218,164.30770048552307,9997800
2022-05-10,164.73146057128906,168.7819925977,160.91746134103565,164.99755808721554,8598700
2022-05-11,158.93653869628906,167.52050259081204,158.50290278630993,163.1053293072158,7220100
2022-05-12,158.09886169433594,164.4358330616496,152.4024944207301,154.6593535153424,10187500
2022-05-13,164.4949493408203,166.23932802843436,159.6658394008435,161.18356525323867,6499700
2022-05-16,161.7453155517578,163.7065273237404,159.53773610945316,162.3563548942589,5065800
2022-05-17,161.36094665527344,166.65325704693902,155.97995714259292,164.90886339616625,7317700
2022-05-18,155.05357360839844,162.13954297100156,153.930069017925,160.4641434993142,7454400
2022-05-19,153.34860229492188,156.94578378885132,152.4911802518319,152.9839456640418,8382200
2022-05-20,157.33998107910156,158.40435611298798,152.31378318564495,156.4431595092025,9068700
2022-05-23,158.0002899169922,158.40434607734534,153.6540958968088,157.5272243510095,6148800
2022-05-24,154.6593475341797,156.09822917759334,152.31379436035104,155.4872048688323,6928400
2022-05-25,157.33998107910156,159.5475754128667,153.07264608756518,153.07264608756518,7436800
2022-05-26,160.10931396484375,161.3215124381752,155.29006974959478,157.3793898886708,6697700
2022-05-27,162.71112060546875,162.8392293674919,157.93129081217603,158.34521189149137,7883600
2022-05-31,157.92144775390625,164.8595773957659,157.04432601591824,164.54421538559313,18114600
2022-06-01,173.5224151611328,181.7515883177071,171.84700077085412,175.4343322810628,37037400
2022-06-02,185.6739959716797,187.37897507631249,172.17222707259157,172.4678893190255,19231200
2022-06-03,182.23448181152344,186.89603772146705,181.14054215422115,182.323175963682,9224000
2022-06-06,180.2240295410156,187.664790788714,179.07096020108477,186.1963443448663,5811700
2022-06-07,184.44204711914065,185.8710785299592,179.0807732479869,179.0807732479869,6331100
2022-06-08,186.4525604248047,187.8027327070224,182.7075406590708,184.29424572916832,6226200
2022-06-09,184.4026641845703,189.892062789678,183.9098987963413,185.8021160825799,8467700
2022-06-10,175.86795043945312,181.28836929044107,174.6360370642286,180.9730072861462,7855800
2022-06-13,163.627685546875,170.1814596731341,162.67171942094447,168.08228919201454,10726200
2022-06-14,162.07054138183594,167.17559888197223,159.80381747368295,166.28861211547394,8576200
2022-06-15,166.11123657226562,169.01854972613395,162.2972217549324,164.3175631120301,7740700
2022-06-16,157.537109375,164.48508970422256,156.3248956253168,161.36095877402855,8090900
2022-06-17,160.89776611328125,163.82479403097997,155.88141754138974,156.26577398320836,13074600
2022-06-21,164.41610717773438,166.89964903472523,162.5140248907274,162.66186353533794,6736800
2022-06-22,165.02713012695312,167.98372253903833,161.8340199462254,162.31692041587505,5864500
2022-06-23,170.5460968017578,170.88117364273768,164.70189171993567,166.6433884720919,7258000
2022-06-24,183.22987365722656,183.7127891342492,173.99545542142718,175.14852458443477,12107100
2022-06-27,178.68655395507812,183.8803045229157,177.8587118450254,183.41710392938543,6170600
2022-06-28,168.9791259765625,179.69184149241516,168.95941114894157,177.68135013928648,6668600
2022-06-29,168.1414031982422,171.26553389606474,165.6282967581245,170.0040557290577,5430400
2022-06-30,162.65199279785156,165.07640512567374,158.77886406299666,162.66185772994424,9539400
2022-07-01,165.76629638671875,166.70254774549406,161.6763491172227,162.37606764344085,4561600
2022-07-05,169.70840454101562,169.85624318711996,162.22822921114772,163.69667554961208,4614200
2022-07-06,170.23074340820312,172.52703214584986,168.3582407655251,171.00932121881695,4085100
2022-07-07,174.0841522216797,174.37981445622245,170.66435929368166,171.64989005015357,4000100
2022-07-08,172.9606475830078,174.05458732308725,170.33913216436616,171.5316309951938,2869200
